id,name,topic,url,description,provider,formats,size,records,languages,license,license_url,access,commercial_use,cite
codesearchnet,CodeSearchNet Corpus,source-code,https://github.com/github/CodeSearchNet,"Two million functions from open-source projects in six languages, each paired with its natural-language docstring, for code search and code-summarisation models.",GitHub,JSONL; GZIP,~20 GB,"2,000,000 functions",Go; Java; JavaScript; PHP; Python; Ruby,MIT (tooling); individual functions retain their upstream repository licenses,https://github.com/github/CodeSearchNet/blob/master/LICENSE,open,check,"Husain et al. (2019), CodeSearchNet Challenge: Evaluating the State of Semantic Code Search. arXiv:1909.09436"
gh-archive,GH Archive,source-code,https://www.gharchive.org/,"Every public GitHub event since 2011, archived hourly and queryable in BigQuery, covering pushes, pull requests, issues and stars.",GH Archive (Ilya Grigorik),JSON; GZIP; BigQuery,"Multi-TB, grows continuously",Billions of events,,MIT (project); event data derived from the GitHub public timeline,https://github.com/igrigorik/gharchive.org/blob/master/LICENSE.md,open,check,"GH Archive, https://www.gharchive.org/"
defects4j,Defects4J,software-defects,https://github.com/rjust/defects4j,"A reproducible collection of real Java bugs, each with a buggy and fixed revision plus the tests that expose the failure, and a harness that checks out and builds any of them on demand.",René Just et al.,Git; Java; Shell,~2 GB after setup,800+ bugs across 17 open-source Java projects,Java,MIT,https://github.com/rjust/defects4j/blob/master/license.txt,open,yes,"Just, Jalali & Ernst (2014), Defects4J: A Database of Existing Faults to Enable Controlled Testing Studies for Java Programs. ISSTA 2014"
bugswarm,BugSwarm,software-defects,https://www.bugswarm.org/,"Fail-pass pairs of real continuous-integration builds packaged as Docker images, so a historical build failure and its fix can be reproduced exactly years later.",UC Davis DECAL Lab,Docker images; JSON,Varies per artifact,"3,000+ reproducible artifacts",Java; Python,MIT (client tooling); artifacts retain upstream project licenses,https://github.com/BugSwarm/bugswarm/blob/master/LICENSE,open,check,"Tomassi et al. (2019), BugSwarm: Mining and Continuously Growing a Dataset of Reproducible Failures and Fixes. ICSE 2019"
nvd-feeds,NVD Vulnerability Data Feeds,security-vulnerabilities,https://nvd.nist.gov/vuln/data-feeds,"The US National Vulnerability Database's enriched view of every CVE, adding CVSS severity scores, CWE weakness classes and CPE product identifiers.",NIST,JSON; API,~10 GB uncompressed,"290,000+ CVE records",,US Government public domain,https://nvd.nist.gov/general/FAQ-Sections/General-FAQs,open,yes,"National Vulnerability Database, NIST"
cve-list-v5,CVE List V5,security-vulnerabilities,https://github.com/CVEProject/cvelistV5,"The authoritative CVE Program record set in JSON 5.0 format, published directly to Git so every vulnerability disclosure has a full commit history.",CVE Program / MITRE,JSON; Git,~5 GB,"290,000+ CVE records",,CVE Program Terms of Use,https://www.cve.org/Legal/TermsOfUse,open,yes,"CVE Program, https://www.cve.org/"
cic-ids2017,CIC-IDS2017,network-traffic,https://www.unb.ca/cic/datasets/ids-2017.html,"Five days of realistic background traffic interleaved with labelled brute-force, DoS, web-attack, infiltration and botnet scenarios, published as both raw PCAPs and extracted flow features.","Canadian Institute for Cybersecurity, University of New Brunswick",PCAP; CSV,~50 GB,"2,800,000+ labelled flows",,Free for research use with citation,https://www.unb.ca/cic/datasets/ids-2017.html,registration,no,"Sharafaldin, Lashkari & Ghorbani (2018), Toward Generating a New Intrusion Detection Dataset and Intrusion Traffic Characterization. ICISSP 2018"
unsw-nb15,UNSW-NB15,network-traffic,https://research.unsw.edu.au/projects/unsw-nb15-dataset,"Synthetic-but-realistic network traffic covering nine attack families, with 49 engineered flow features and a fixed train/test split that has become a standard IDS benchmark.",UNSW Canberra Cyber,PCAP; CSV,"~100 GB raw, ~500 MB feature CSVs","2,540,044 flow records",,Free for academic research with citation,https://research.unsw.edu.au/projects/unsw-nb15-dataset,open,no,"Moustafa & Slay (2015), UNSW-NB15: A Comprehensive Data Set for Network Intrusion Detection Systems. MilCIS 2015"
loghub,Loghub,logs-observability,https://github.com/logpai/loghub,"System logs from distributed systems, supercomputers, operating systems, mobile devices and servers, with hand-labelled templates for a subset, aimed at log parsing and anomaly detection.",LogPAI,Plain text; CSV,~77 GB,"16 log collections, billions of lines",,Freely available for research; individual collections retain source terms,https://github.com/logpai/loghub#license,open,check,"He et al. (2020), Loghub: A Large Collection of System Log Datasets towards Automated Log Analytics. arXiv:2008.06448"
rally-tracks,Elasticsearch Rally Tracks,logs-observability,https://github.com/elastic/rally-tracks,"The standard benchmarking workloads for Elasticsearch, bundling real document corpora such as HTTP server logs, geonames and NYC taxi rides with the query mixes run against them.",Elastic,JSON; Bzip2,Up to ~200 GB per track,Varies by track (millions to billions of documents),,"No single license; chosen per track, typically matching the terms of the source data",https://github.com/elastic/rally-tracks,open,check,"Elastic Rally, https://github.com/elastic/rally-tracks"
tpc-h,TPC-H,databases-benchmarks,https://www.tpc.org/tpch/,"The decision-support benchmark that defines a fixed eight-table schema, a scalable data generator and 22 analytical queries, used to compare query engines at scale factors from 1 GB to 100 TB.",Transaction Processing Performance Council,Data generator (C); SQL,Configurable (1 GB to 100 TB),~8.7M rows at scale factor 1,,TPC End User License Agreement (free download),https://www.tpc.org/tpc_documents_current_versions/current_specifications5.asp,open,check,"Transaction Processing Performance Council, TPC Benchmark H"
clickbench,ClickBench,databases-benchmarks,https://github.com/ClickHouse/ClickBench,"A single wide table of anonymised web analytics hits plus 43 typical aggregation queries, designed to compare analytical databases on realistic clickstream workloads.",ClickHouse,Parquet; CSV; TSV,~15 GB Parquet (~75 GB raw),"99,997,497 rows",,Apache-2.0,https://github.com/ClickHouse/ClickBench/blob/main/LICENSE,open,yes,"ClickBench, https://benchmark.clickhouse.com/"
common-crawl,Common Crawl,web-crawl,https://commoncrawl.org/,"A monthly crawl of the public web hosted free on S3, published as raw WARC responses plus extracted plain text and link graphs, and the upstream source for most open LLM pretraining corpora.",Common Crawl Foundation,WARC; WET; WAT; Parquet,~100 TB per monthly crawl,~3 billion pages per crawl,,Common Crawl Terms of Use,https://commoncrawl.org/terms-of-use,open,check,"Common Crawl Foundation, https://commoncrawl.org/"
c4,C4 (Colossal Clean Crawled Corpus),web-crawl,https://huggingface.co/datasets/allenai/c4,"A heavily filtered English subset of Common Crawl created for training T5, with deduplication, boilerplate removal and language detection already applied.",Google / AllenAI,JSON; GZIP; Parquet,~305 GB (en),~365 million documents (en),English; multilingual variant available,ODC-BY 1.0; underlying text subject to Common Crawl terms,https://huggingface.co/datasets/allenai/c4#license,open,check,"Raffel et al. (2020), Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer. JMLR 21(140)"
imdb-reviews,Large Movie Review Dataset (IMDB),nlp,https://ai.stanford.edu/~amaas/data/sentiment/,"Polar movie reviews split evenly into positive and negative classes with a balanced train/test partition, the default smoke test for text classification pipelines.",Stanford AI Lab,Plain text; TAR.GZ,~80 MB,"50,000 labelled reviews plus 50,000 unlabelled",English,Research use; see dataset README,https://ai.stanford.edu/~amaas/data/sentiment/,open,check,"Maas et al. (2011), Learning Word Vectors for Sentiment Analysis. ACL 2011"
squad-v2,SQuAD 2.0,nlp,https://rajpurkar.github.io/SQuAD-explorer/,"Crowd-written questions over Wikipedia paragraphs, combining answerable questions with adversarially written unanswerable ones so models must learn to abstain.",Stanford NLP Group,JSON,~45 MB,"150,000 questions (100,000 answerable, 50,000 unanswerable)",English,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,open,yes,"Rajpurkar, Jia & Liang (2018), Know What You Don't Know: Unanswerable Questions for SQuAD. ACL 2018"
coco,COCO (Common Objects in Context),computer-vision,https://cocodataset.org/,"Everyday scenes annotated with object instance masks, keypoints, panoptic segments and five captions per image, the reference benchmark for detection and segmentation.",COCO Consortium,JPEG; JSON,~25 GB (2017 splits),"330,000 images, 1.5 million object instances, 80 categories",English (captions),CC BY 4.0 (annotations); images subject to their original Flickr terms,https://cocodataset.org/#termsofuse,open,check,"Lin et al. (2014), Microsoft COCO: Common Objects in Context. ECCV 2014"
cifar-10,CIFAR-10 / CIFAR-100,computer-vision,https://www.cs.toronto.edu/~kriz/cifar.html,"Small 32x32 colour images across 10 or 100 balanced classes, small enough to iterate on in minutes and still the standard sanity check for new architectures.",University of Toronto,Pickle; Binary; TAR.GZ,~170 MB each,"60,000 images per variant",,Research use; attribution requested,https://www.cs.toronto.edu/~kriz/cifar.html,open,check,"Krizhevsky (2009), Learning Multiple Layers of Features from Tiny Images. Technical Report, University of Toronto"
