id,name,topic,country,country_name,url,description,provider,formats,size,records,license,license_url,access,commercial_use,cite,path
bkg-geodatenzentrum-open-data,BKG Geodatenzentrum Open Data,addresses-and-geocoding,de,Germany,https://gdz.bkg.bund.de/,"Germany's national geodata centre distributing administrative boundaries, digital terrain models, topographic base data and gazetteers as free open data.",Bundesamt für Kartographie und Geodäsie,Shapefile; GeoPackage; GeoTIFF; WMS; WFS,Terabyte-scale,National coverage of Germany,DL-DE-BY-2.0 for open products,https://www.govdata.de/dl-de/by-2-0,open,yes,"Bundesamt für Kartographie und Geodäsie (BKG), Geodatenzentrum",topics/addresses-and-geocoding/de/dataset-01.json
basemap-de,basemap.de,addresses-and-geocoding,de,Germany,https://basemap.de/,"The official German web map service built from state survey data, offering raster and vector tiles for cartographic base layers.",Arbeitsgemeinschaft der Vermessungsverwaltungen (AdV),Vector tiles; WMTS; WMS,Tile service,National coverage at all zoom levels,DL-DE-BY-2.0,https://www.govdata.de/dl-de/by-2-0,open,yes,"basemap.de, AdV",topics/addresses-and-geocoding/de/dataset-02.json
openplz-api,OpenPLZ API,addresses-and-geocoding,de,Germany,https://www.openplzapi.org/,"A free API resolving German, Austrian, Swiss and Liechtenstein postal codes to localities, districts, states and street lists.",OpenPLZ API project,REST API; JSON,API,Postal code and street coverage for four countries,ODbL 1.0 (data from OpenStreetMap and official sources),https://www.openplzapi.org/,open,yes,OpenPLZ API,topics/addresses-and-geocoding/de/dataset-03.json
geoportal-de,Geoportal.de,addresses-and-geocoding,de,Germany,https://www.geoportal.de/,"The federal spatial data infrastructure portal indexing geodata services from all German states and agencies, with INSPIRE-compliant metadata.",Bundesamt für Kartographie und Geodäsie,WMS; WFS; Atom; Metadata,Varies by service,"100,000+ registered geodata resources",Varies by provider; commonly DL-DE-BY-2.0,https://www.geoportal.de/,open,check,"Geoportal.de, Geodateninfrastruktur Deutschland",topics/addresses-and-geocoding/de/dataset-04.json
destatis-regionalatlas,Destatis Regionalatlas,addresses-and-geocoding,de,Germany,https://regionalatlas.statistikportal.de/,"Small-area German statistics mapped to administrative geographies, covering population, economy, labour, health and infrastructure indicators.",Statistische Ämter des Bundes und der Länder,CSV; XLSX; WMS,~2 GB,400+ indicators at district level,DL-DE-BY-2.0,https://www.govdata.de/dl-de/by-2-0,open,yes,"Statistische Ämter des Bundes und der Länder, Regionalatlas Deutschland",topics/addresses-and-geocoding/de/dataset-05.json
base-adresse-nationale,Base Adresse Nationale,addresses-and-geocoding,fr,France,https://adresse.data.gouv.fr/,"France's authoritative address database with geolocated address points, street names and INSEE codes, plus a free geocoding and reverse-geocoding API.",DINUM and IGN,CSV; GeoJSON; REST API,~2 GB,26 million+ addresses,Licence Ouverte 2.0,https://www.etalab.gouv.fr/licence-ouverte-open-licence/,open,yes,"Base Adresse Nationale, DINUM",topics/addresses-and-geocoding/fr/dataset-01.json
data-gouv-fr,data.gouv.fr,addresses-and-geocoding,fr,France,https://www.data.gouv.fr/,"France's central open data platform hosting government, local authority and community datasets across every policy domain with a full API.",DINUM / Etalab,CSV; JSON; GeoJSON; Shapefile; REST API,Varies by dataset,"50,000+ datasets",Mostly Licence Ouverte 2.0,https://www.etalab.gouv.fr/licence-ouverte-open-licence/,open,yes,"data.gouv.fr, Etalab",topics/addresses-and-geocoding/fr/dataset-02.json
ign-g-oservices,IGN Géoservices,addresses-and-geocoding,fr,France,https://geoservices.ign.fr/,"National mapping agency data including cadastral parcels, topographic databases, orthophotography, elevation models and administrative boundaries.",Institut national de l'information géographique et forestière,Shapefile; GeoPackage; GeoTIFF; WMS; WFS,Terabyte-scale,National coverage of France and overseas territories,Licence Ouverte 2.0 for open products,https://geoservices.ign.fr/,open,yes,IGN Géoservices,topics/addresses-and-geocoding/fr/dataset-03.json
insee-code-officiel-g-ographique,INSEE Code Officiel Géographique,addresses-and-geocoding,fr,France,https://www.insee.fr/fr/information/2560452,"The official register of French communes, departments, regions and countries with historical changes, the canonical join key for French administrative data.",Institut national de la statistique et des études économiques,CSV; XLSX,~50 MB,"35,000+ communes with historical revisions",Licence Ouverte 2.0,https://www.etalab.gouv.fr/licence-ouverte-open-licence/,open,yes,"INSEE, Code officiel géographique",topics/addresses-and-geocoding/fr/dataset-04.json
demandes-de-valeurs-fonci-res,Demandes de Valeurs Foncières,addresses-and-geocoding,fr,France,https://www.data.gouv.fr/datasets/demandes-de-valeurs-foncieres,"Every French property transaction registered by the tax administration, with price, date, surface area, parcel reference and property type.",Direction générale des finances publiques,CSV; TXT,~5 GB,20 million+ transactions since 2014,Licence Ouverte 2.0,https://www.etalab.gouv.fr/licence-ouverte-open-licence/,open,yes,"DGFiP, Demandes de valeurs foncières",topics/addresses-and-geocoding/fr/dataset-05.json
